country_name,country_code,indicator_name,indicator_code,year,debt_value
Dominican Republic,DOM,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2010,1136713174.359548
Tunisia,TUN,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,2010,46634457.729634665
"Congo, Dem. Rep.",CON,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,2010,136833235.5034672
Botswana,BOT,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,2010,59552411.3712096
Bolivia,BOL,"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)",DT.NTR.DPPG.CD,2010,1426546094.3571117
Tanzania,TAN,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",DT.NFL.DPNG.CD,2010,44911001.92644471
Nepal,NEP,"Commitments, public and publicly guaranteed (COM, current US$)",DT.COM.DPPG.CD,2010,136348140.21256256
Vanuatu,VAN,"Commitments, public and publicly guaranteed (COM, current US$)",DT.COM.DPPG.CD,2010,66990218.25118724
Syrian Arab Republic,SYR,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",DT.NTR.DPNG.CD,2010,359869599.050816
Guatemala,GUA,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,2010,46024296.965007246
Eswatini,ESW,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,2010,371992881.1522843
Burkina Faso,BUR,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD,2010,80116333.54028997
Peru,PER,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",DT.AMT.DPPG.CD,2010,1430837328.594757
Dominica,DOM,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",DT.AMT.DPPG.CD,2010,1318188677.36117
"Venezuela, RB",VEN,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,2010,1719174555.3999908
Cote d'Ivoire,COT,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",DT.DIS.DPPG.CD,2010,528008375.72042406
Mozambique,MOZ,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",DT.AMT.DPPG.CD,2010,815504072.9237796
Zambia,ZAM,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2010,64194686.95367888
Vietnam,VIE,"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",DT.INT.DPPG.CD,2010,92296364.89235388
Dominican Republic,DOM,"Net transfers on external debt, total (NTR, current US$)",DT.NTR.DECT.CD,2010,1491659176.899138
Togo,TOG,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",DT.NTR.DPNG.CD,2010,98069999.58930188
Comoros,COM,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2010,293355081.4928191
Armenia,ARM,"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)",DT.NFL.DPPG.CD,2010,177571255.56182402
Mauritania,MAU,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",DT.NTR.DPNG.CD,2010,239960019.96054164
Dominican Republic,DOM,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",DT.DIS.DPPG.CD,2010,837024420.9606781
Djibouti,DJI,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2010,1683315447.6957276
Eritrea,ERI,"Commitments, public and publicly guaranteed (COM, current US$)",DT.COM.DPPG.CD,2010,269370206.3569412
Fiji,FIJ,"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",DT.INT.DPPG.CD,2010,63634584.55995434
Bosnia and Herzegovina,BOS,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2010,648646395.1322047
Niger,NIG,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",DT.NTR.DPNG.CD,2010,41382432.54678166
Algeria,ALG,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",DT.DIS.DPPG.CD,2010,459073295.2577485
Pakistan,PAK,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD,2010,611145000.9520432
Sierra Leone,SIE,"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)",DT.NTR.DPPG.CD,2010,878585171.8132833
Mexico,MEX,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,2010,71985448.24069504
Guinea,GUI,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD,2010,18886519.270033948
Togo,TOG,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD,2010,125297239.80980274
Gabon,GAB,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",DT.AMT.DPPG.CD,2010,10721636389.460136
Turkmenistan,TUR,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2010,1695654478.4000783
Botswana,BOT,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",DT.NTR.DPNG.CD,2010,212780854.49269712
Sri Lanka,SRI,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2010,32598055.43644659
El Salvador,EL ,"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)",DT.NFL.DPPG.CD,2010,858732647.1560435
Ukraine,UKR,"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)",DT.NTR.DPPG.CD,2010,87721919.65882856
Lao PDR,LAO,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",DT.AMT.DPPG.CD,2010,1059447959.7081828
China,CHI,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,2010,233392551.3474037
Liberia,LIB,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,2010,35158062.490807936
Lesotho,LES,"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)",DT.NFL.DPPG.CD,2010,230246265.4664987
Pakistan,PAK,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,2010,187719214.92077067
Ecuador,ECU,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,2010,91535552.88278577
Botswana,BOT,"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)",DT.NTR.DPPG.CD,2010,433806782.88990057
Senegal,SEN,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD,2010,11531222.603689007
Serbia,SER,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2010,2533998540.3069067
Zambia,ZAM,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",DT.DIS.DPNG.CD,2010,389743600.8158762
Dominican Republic,DOM,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,2010,151575199.0985757
Senegal,SEN,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,2010,3743319.867210175
Angola,ANG,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",DT.DIS.DPPG.CD,2010,345875416.3433727
Ecuador,ECU,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD,2010,300632833.4431481
Djibouti,DJI,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",DT.DIS.DPPG.CD,2010,980111806.9443384
North Macedonia,NOR,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,2010,64209283.212931536
South Africa,SOU,"Net transfers on external debt, total (NTR, current US$)",DT.NTR.DECT.CD,2010,644283410.4632968
Bulgaria,BUL,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",DT.AMT.DPPG.CD,2010,82418495.05246708
Maldives,MAL,"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",DT.INT.DPPG.CD,2010,265004640.3231604
Nepal,NEP,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2010,199693579.262128
Botswana,BOT,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",DT.DIS.DPNG.CD,2010,190360799.0363984
Nigeria,NIG,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,2010,2623680.4742630203
Bhutan,BHU,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2010,128445940.96628594
Bosnia and Herzegovina,BOS,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",DT.NFL.DPNG.CD,2010,137861349.99014458
Vanuatu,VAN,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD,2010,33681976.61360676
Samoa,SAM,"Net transfers on external debt, total (NTR, current US$)",DT.NTR.DECT.CD,2010,15685988.010491012
St. Vincent and the Grenadines,ST.,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",DT.NFL.DPNG.CD,2010,156282799.62891155
Eswatini,ESW,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",DT.AMT.DPPG.CD,2010,1827119369.627055
Ethiopia,ETH,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,2010,21946515.036918115
Zambia,ZAM,"Commitments, public and publicly guaranteed (COM, current US$)",DT.COM.DPPG.CD,2010,851995863.2023543
Tajikistan,TAJ,"Commitments, public and publicly guaranteed (COM, current US$)",DT.COM.DPPG.CD,2010,322424708.58108866
Cameroon,CAM,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",DT.DIS.DPPG.CD,2010,1392912966.3127031
Jamaica,JAM,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,2010,97371548.9108322
Cambodia,CAM,"Net transfers on external debt, total (NTR, current US$)",DT.NTR.DECT.CD,2010,308263665.6099693
Guinea-Bissau,GUI,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",DT.AMT.DPPG.CD,2010,167174176.27701947
Haiti,HAI,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,2010,65025695.01546083
Montenegro,MON,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",DT.NFL.DPNG.CD,2010,265451890.706994
Vietnam,VIE,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,2010,43042290.89940084
Bangladesh,BAN,"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",DT.INT.DPPG.CD,2010,88777461.05300948
Grenada,GRE,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD,2010,55371050.18683948
Uganda,UGA,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,2010,143508304.1172868
Zambia,ZAM,"Net transfers on external debt, total (NTR, current US$)",DT.NTR.DECT.CD,2010,1364318228.4241078
Sao Tome and Principe,SAO,"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)",DT.NTR.DPPG.CD,2010,163340067.25200716
Bhutan,BHU,"Commitments, public and publicly guaranteed (COM, current US$)",DT.COM.DPPG.CD,2010,65754129.90781815
"Congo, Dem. Rep.",CON,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,2010,982828962.2664664
Dominica,DOM,"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)",DT.NTR.DPPG.CD,2010,1193493926.9303966
Angola,ANG,"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",DT.INT.DPPG.CD,2010,292141441.1867118
Burundi,BUR,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",DT.NFL.DPNG.CD,2010,34087892.65552388
Sao Tome and Principe,SAO,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2010,14427086.2467308
Uzbekistan,UZB,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2010,740242647.8586426
Turkmenistan,TUR,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",DT.DIS.DPNG.CD,2010,579933782.4993442
Burkina Faso,BUR,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",DT.NTR.DPNG.CD,2010,69522818.92468777
Pakistan,PAK,"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",DT.INT.DPPG.CD,2010,1114790654.0423756
St. Vincent and the Grenadines,ST.,"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)",DT.NFL.DPPG.CD,2010,337623723.7987684
Sudan,SUD,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",DT.NTR.DPNG.CD,2010,614129229.2148626
"Gambia, The",GAM,"Net transfers on external debt, total (NTR, current US$)",DT.NTR.DECT.CD,2010,883774046.2295468
Madagascar,MAD,"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)",DT.NFL.DPPG.CD,2010,155480601.88677242
Tajikistan,TAJ,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD,2010,126593835.53952973
Guyana,GUY,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,2010,168554077.23668763
Zambia,ZAM,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,2010,138674373.8987888
Tanzania,TAN,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2010,200040151.53815097
Bulgaria,BUL,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",DT.DIS.DPPG.CD,2010,78185643.5896938
Zimbabwe,ZIM,"Commitments, public and publicly guaranteed (COM, current US$)",DT.COM.DPPG.CD,2010,170849429.27411792
Rwanda,RWA,"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",DT.INT.DPPG.CD,2010,51808222.92842677
Turkmenistan,TUR,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,2010,716324249.007786
Jordan,JOR,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",DT.DIS.DPNG.CD,2010,8497476.01250453
St. Lucia,ST.,"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)",DT.NFL.DPPG.CD,2010,1040915603.3705678
"Yemen, Rep.",YEM,"Net transfers on external debt, total (NTR, current US$)",DT.NTR.DECT.CD,2010,512889297.44623256
Armenia,ARM,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",DT.DIS.DPPG.CD,2010,170906430.79919115
Vietnam,VIE,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2010,155565990.59705478
Mozambique,MOZ,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",DT.DIS.DPPG.CD,2010,1028712154.2556894
Guinea,GUI,"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)",DT.NTR.DPPG.CD,2010,45379813.25394411
Dominican Republic,DOM,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD,2010,424195645.28592193
Bhutan,BHU,"Net transfers on external debt, total (NTR, current US$)",DT.NTR.DECT.CD,2010,130883729.2720367
Rwanda,RWA,"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)",DT.NTR.DPPG.CD,2010,59671850.34844199
Uzbekistan,UZB,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",DT.DIS.DPPG.CD,2010,300448490.584342
India,IND,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2010,36117279.6526077
"Congo, Dem. Rep.",CON,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",DT.AMT.DPPG.CD,2010,768302604.5799648
Sao Tome and Principe,SAO,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,2010,39796554.18185921
"Egypt, Arab Rep.",EGY,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,2010,7995771.80110921
Mozambique,MOZ,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",DT.NTR.DPNG.CD,2010,395679257.7294029
Tunisia,TUN,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2010,22777101.18016941
