Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
St. Lucia,ST.,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD,,462714415.9839884,569699450.9834919,609042228.7333478,670134135.7308276,563359631.4753915,664641425.962769,,672914985.8342657,797744403.4073952,571931246.574143,673292718.6715126
Cameroon,CAM,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,1512833197.8311145,1972219987.3145506,2065074811.933711,2088987822.4946954,1692580660.7331772,2209592429.652908,2515532662.2486567,2379456737.776171,2144781135.811962,2382354563.0042324,2607556502.0605035,2556830064.3836575
North Macedonia,NOR,"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)",DT.NFL.DPPG.CD,134260967.8081588,,128142731.56904648,121314213.05730632,147721092.284998,150803359.92922533,191414369.29196498,173179385.16657558,,166261782.5892065,208658281.68393093,199130759.8630491
Uganda,UGA,"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",DT.INT.DPPG.CD,171977524.8866045,148011487.27418,193115249.99899137,220333521.91743872,175230477.3353816,177442722.03141728,194787863.9486393,253896862.7067028,248495692.07036108,252297393.05443352,231090853.11797616,247578931.74028382
Kosovo,KOS,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",DT.NTR.DPNG.CD,,662702243.7298756,781892715.5393674,688551195.7202357,809409271.3176874,656489027.82809,868728500.2702354,,1015131793.3454909,874903680.1208117,876678660.3423964,
Senegal,SEN,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",DT.DIS.DPNG.CD,9999683.968050197,12833819.27549342,13624312.190876994,15675083.24222285,13923520.42135983,12963114.54967074,15928853.588433037,18364144.69154132,13916844.809438992,15398874.25713189,17408370.242305916,15358402.1340565
Algeria,ALG,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,177996025.2450716,189020002.17423937,212462168.76093847,232806411.05617025,256004280.08624652,241275552.08674985,260843362.87022588,302218435.0147045,232330161.26648772,266118287.94554037,331627920.1081618,365649825.49807924
Tonga,TON,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",DT.AMT.DPPG.CD,325282490.2615405,,328854152.25856024,307626900.9249627,339770858.5546833,403331487.12296104,392284492.1303291,493508483.7808956,390005150.4907001,559390837.9116637,574289088.5969431,596184623.5140955
Bangladesh,BAN,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,171358138.69368255,181851428.1131997,240055192.03687406,171372059.37735125,251305777.34465757,235448243.29743806,231566339.52540368,268738630.9529718,254293212.6359658,304338127.87467355,317821385.0137074,274185545.3214204
Tunisia,TUN,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,111718203.84837626,126773340.97590572,168083917.43440795,164523463.43125278,140919619.2804971,164884684.29041705,160804750.21954048,172937504.66639477,169633545.94808066,170034696.03195247,206413795.28333926,221569910.16193593
Georgia,GEO,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD,2252039269.4813943,2892973118.5260997,2782067176.6561146,2617468205.3759007,3342946967.6846,3200828169.295705,3470705835.545909,3146286987.286847,3485271411.1693697,3807714353.7124286,3619295860.908064,3418746039.6562676
Kazakhstan,KAZ,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,12698495.622392649,17669350.80910844,18481130.304292597,19813351.48340278,19878517.285312477,21598213.862307016,16819241.918633163,22115838.554584134,22779841.58183655,18645043.165344745,18142400.024830263,26617724.913770452
Morocco,MOR,"Commitments, public and publicly guaranteed (COM, current US$)",DT.COM.DPPG.CD,149700592.16566846,,172578798.40581337,151922136.83140063,172792630.00845778,198017759.49051315,204763517.0285823,179730455.46693254,236055663.67980412,240767937.72230926,,297091529.3657249
Costa Rica,COS,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",DT.NFL.DPNG.CD,59487520.31195565,56620809.03658195,77156812.85989608,78034423.29504813,65881664.714390956,74151636.9760445,,88931735.68059784,74440340.58307107,108520485.91540799,104545680.84201773,92861660.13355479
Djibouti,DJI,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,82166259.63174532,92119176.50335014,83624696.47981198,84625924.90286891,94309698.61781898,112564345.8535282,121718012.46720825,109797200.0320745,119070579.64945313,134527616.2238091,100592454.3930989,110559649.63301219
Nigeria,NIG,"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)",DT.NFL.DPPG.CD,17115205.51849509,14511357.16928488,17039569.34161582,20851969.355910208,15358143.73823131,20541204.448143356,23585998.525423814,19022066.91748756,24535845.282706693,26053409.211575765,25237753.27710248,21182748.836961195
Bangladesh,BAN,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,88985419.07156207,134876885.43738702,129660761.13019586,134898547.43141192,116527209.5412174,145663136.43374237,136390120.4040716,156863418.2968893,129255398.77133043,168903136.88492376,197182172.29715082,139138278.54654995
Peru,PER,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,753282403.5989901,787828157.8788851,799269313.1931738,766279339.2179794,943740622.7034383,891899345.3538833,1057598210.8860973,1035531112.8518718,778667566.9916531,915470780.1342854,1049587317.0949851,1147658064.8645856
Nigeria,NIG,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",DT.AMT.DPPG.CD,14485993.44437652,15943462.158347595,14730340.790514395,14933447.535850104,21095812.237526353,22504041.411208335,16551776.081780503,19422600.956943706,25366192.38507218,18500272.866594035,24287395.31132221,28216295.397582583
Costa Rica,COS,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD,71276161.52819547,,77940231.29929493,73867185.83618723,83080270.58534388,85019886.6153414,71929961.03560881,86922000.55435857,100630297.6495703,88392583.66571623,111535315.26521483,95269472.26236032
Zimbabwe,ZIM,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD,113916570.0436592,87041994.08595794,127544239.52186757,98156321.8335077,99522836.0161113,128654749.83176833,130639267.00780608,135056281.55982313,144739830.6208341,133171506.97100314,160405978.51515636,155759739.79386234
Syrian Arab Republic,SYR,"Net transfers on external debt, total (NTR, current US$)",DT.NTR.DECT.CD,1248128210.7936563,1215754206.6414046,1274936381.1475046,,1558033711.2363434,1725400913.8006563,1812722580.274569,1417274469.655432,1492816916.4332216,1906415827.0333102,1706123128.8669176,2118240906.0035672
Comoros,COM,"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",DT.INT.DPPG.CD,144599015.5458801,195236162.58852148,216058318.02188414,179714340.90597826,202285749.84487164,247050712.6125669,260397423.23805195,210830370.67391837,248599742.44831327,221330635.50568464,219499838.45056245,314142839.106523
Uganda,UGA,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,32316687.053578254,27720501.13276621,33670214.25413864,30247270.19905987,37517838.760989055,35142116.31047584,38544681.22658212,37227173.51048123,34549234.26147487,36048723.964296535,35571716.84710552,46320317.48586409
Burundi,BUR,"Net transfers on external debt, total (NTR, current US$)",DT.NTR.DECT.CD,120954255.7662112,138627062.8286415,157277959.87506625,123423467.52028188,167403530.18570617,177286155.3965221,183253883.84171045,,177956499.42033935,168430029.86002812,199554791.74193656,189641760.14711577
Dominican Republic,DOM,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1136713174.3595479,,1460866130.5141692,1379088634.0873036,,1590988149.38783,1873012399.4681516,1945795753.8649142,1907842561.6697931,2291386822.666545,1893037286.5232837,2114761242.2834697
Tunisia,TUN,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,46634457.729634665,36373297.15071065,56090239.58037632,43813305.25827769,54820131.20517463,52192198.02617873,45917972.260864854,57234169.11920752,60424190.34078293,70985037.21917516,70285919.75902438,55270101.272684984
"Congo, Dem. Rep.",CON,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,136833235.5034672,160450321.8418054,128438315.94694164,187194437.57329035,,147864941.5869642,163423532.04008898,155002057.2082349,173874031.44962013,223226721.02004647,195035240.64689875,176968959.58109337
Botswana,BOT,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,59552411.3712096,64462900.21531429,83060526.0280621,88407109.18214993,90563389.81510441,78907015.64362931,94304964.84332685,87223318.69469759,91228340.7939373,83407076.6618325,101407441.64018215,88409343.90542905
